Number,Wins,For,Against,Ratio
125354023,1103,118266,92197,1.282753235
64464325,1106,127272,99236,1.282518441
267971233,1308,133532,104261,1.280747355
153500920,1213,144049,112619,1.27908257
52674337,1208,119740,93654,1.278535887
234613568,1172,113985,89171,1.278274327
59229459,1299,116403,91102,1.277721675
134674460,1221,146950,115186,1.275762679
182975515,1211,146266,114751,1.27463813
228073172,1207,118060,92630,1.274533089
223920470,1201,118062,92640,1.274417098
195522049,1211,146224,114758,1.274194392
237697673,1243,149262,117270,1.272806344
169631810,1262,138718,109137,1.27104465
139746118,1157,115884,91174,1.271020247
35529356,1328,123918,97549,1.270315431
169078058,1195,141557,111755,1.266672632
30619597,1072,128316,101376,1.265743371
248020536,1280,96090,75917,1.26572441
41379348,1225,112057,88597,1.264794519
147055755,1142,138583,109683,1.263486593
54309336,1186,141991,112422,1.263017915
168948230,1304,153414,121544,1.26220957
254111578,1163,134735,106868,1.260760939
199584660,1175,133676,106095,1.259965126
200919262,1303,155664,123547,1.259957749
193405286,1193,146425,116521,1.256640434
249262953,1127,126365,100641,1.255601594
35119363,1241,121762,97098,1.254011411
161723807,1189,140176,111820,1.253586121
37154561,1008,140814,112410,1.252682146
31252192,1178,106603,85109,1.252546734
166523151,1144,115115,91983,1.251481252
252901592,1107,127736,102093,1.25117295
256880370,1142,119226,95305,1.250994177
172549770,1210,152258,121841,1.249645029
260368724,1179,134260,107459,1.24940675
144352129,1374,136819,109509,1.249385895
145177730,1272,148387,118869,1.248323785
143416707,1175,128033,102617,1.24767826
171380841,1244,147471,118198,1.247660705
73214399,1134,111053,89057,1.246987884
268114388,1253,136092,109139,1.246960298
174438282,1159,134877,108174,1.246852294
262774776,1204,143700,115331,1.245978965
66473179,1200,99242,79702,1.245163233
181373198,1255,120230,96621,1.244346467
209959400,1163,139108,111879,1.243379008
247211764,1202,144727,116669,1.240492333
251567797,1178,136125,109847,1.239223647
233111513,1146,142158,114719,1.239184442
184704554,1219,142087,114684,1.238943532
265419062,1311,98751,79714,1.238816268
190734155,1110,91157,73594,1.238647172
156417403,1107,99742,80547,1.238308069
17550689,1248,124189,100355,1.237496886
195394488,1161,147820,119466,1.237339494
25023694,1065,91352,73887,1.236374464
207414972,1308,102530,82981,1.235584049
74691286,1131,121276,98181,1.235228812
165167692,1297,140206,113554,1.234707716
60559389,1355,137026,110984,1.234646436
211663735,1262,119798,97089,1.233898794
102386411,1191,120204,97483,1.233076536
152574475,1248,138957,112762,1.232303436
26861603,1224,123841,100502,1.232224234
220825076,1175,135392,109917,1.231765787
210359484,1227,122557,99518,1.231505858
131099578,1119,89214,72507,1.230419132
201592663,1157,137638,111938,1.229591381
54689778,1244,116823,95098,1.228448548
241564617,1125,142084,115687,1.228176027
182301390,1223,145340,118380,1.227741172
156818973,1243,138689,112984,1.22751009
103348908,1136,130544,106360,1.227378714
168170356,1161,139849,114166,1.224961898
138238979,1230,153207,125124,1.224441354
152709167,1214,126438,103475,1.221918338
156962856,1295,107188,87832,1.220375262
45060103,1097,128869,105614,1.220188611
1689125,1217,123670,101362,1.220082477
150576346,1276,134067,109884,1.220077536
6741636,1171,117504,96333,1.219768927
220682263,1106,137979,113278,1.218056463
46952292,1200,102193,83958,1.217191929
48557226,1142,121343,99719,1.216849347
212168641,1121,141117,115978,1.216756626
196626028,1205,156364,128516,1.216688973
125755931,1099,125938,103522,1.216533684
74408210,1400,106053,87206,1.21612045
109445987,1178,107039,88053,1.215620138
100418898,1109,91447,75347,1.21367805
262370086,1136,135149,111451,1.21263156
238506330,1187,129731,107044,1.211940884
203892481,1092,139051,114991,1.209233766
13213977,1194,124341,102840,1.209072345
180159667,1304,130530,107993,1.208689452
222293250,1206,127309,105333,1.208633572
227006064,1113,137164,113598,1.207450835
260632618,1188,131845,109289,1.206388566
18084720,1237,115333,95699,1.205164108
180014048,1230,154193,128190,1.202847336
180692900,1168,140878,117145,1.202595074
60166802,1025,135278,112490,1.202578007
47478552,1044,123308,102573,1.202148714
229276619,1085,107356,89379,1.201132257
154710043,1216,153652,127934,1.201025529
222558034,1139,127857,106459,1.200997567
42195101,1170,127170,105919,1.200634447
39189548,1378,103740,86551,1.19859967
201726702,1101,139094,116239,1.196620756
31000400,1141,128920,107767,1.196284577
245598862,1155,131510,109940,1.196197926
12298793,1149,133771,111858,1.195900159
91745024,1080,127605,106725,1.195643008
184057475,1172,153648,128547,1.195267101
240113875,1125,112438,94095,1.194941283
214167862,1151,139565,116836,1.194537643
4638885,1168,116444,97525,1.193991284
128823525,1173,132445,110929,1.193961904
103479156,1002,137559,115227,1.193808743
204576628,1173,135893,113899,1.193100905
178098371,1249,152177,127568,1.19290888
205789025,1085,128262,107529,1.192813102
25794158,1314,121628,101993,1.192513212
158193199,1074,122821,103012,1.192297985
12161085,1156,133780,112252,1.191782774
110115120,1102,114193,95906,1.190676287
59359572,1097,116215,97613,1.190568879
239843883,1173,124237,104359,1.190477103
242883338,1200,118244,99396,1.189625337
101092893,1207,104620,87965,1.189336668
150844172,1292,113070,95154,1.188284255
118234894,1034,115424,97190,1.187611894
259187012,1031,116071,97859,1.186104497
170031096,1117,148106,124879,1.185996044
179861236,1150,158676,133809,1.185839518
251003713,1057,128356,108268,1.185539587
215655687,1308,110184,93064,1.183959426
120252785,966,131872,111398,1.18379145
91465453,1113,106317,89828,1.183561918
231136313,1116,132287,111790,1.183352715
150708361,1167,126006,106487,1.18329937
199052838,1220,131321,111036,1.182688497
47094785,1039,139038,117576,1.182537253
144213326,1154,137041,115934,1.182060483
223385765,1155,95992,81279,1.181018467
36469202,1175,134606,114038,1.180360932
96040116,1031,116408,98686,1.179579677
195929263,1219,137460,116561,1.179296677
63257718,1175,111337,94493,1.17825659
166655141,1067,110056,93415,1.178140556
144898323,1108,139592,118545,1.177544392
203209072,1185,119636,101654,1.17689417
193921301,1181,128919,109627,1.175978545
29047375,1123,110328,93904,1.174902028
14841609,1163,125067,106449,1.174900657
18642667,1150,111786,95372,1.17210502
137705167,1162,114518,97924,1.169457947
266754808,1072,134563,115217,1.16790925
229928928,1083,116239,99626,1.166753659
783046,1110,73354,62890,1.166385753
59485849,1129,100979,86658,1.165258834
104437389,1060,133339,114454,1.165000786
117053744,1065,125121,107416,1.164826469
92685835,1186,103190,88782,1.162285148
76708086,1109,118585,102074,1.161755197
130453173,1146,102993,88779,1.16010543
226334214,1106,98321,84764,1.159938181
234341104,1152,125064,107957,1.158461239
187366008,1144,146834,127007,1.156109506
222693238,1074,133542,115546,1.155747495
261812539,1099,132912,115001,1.155746472
221774680,1201,115484,100062,1.154124443
65918368,1143,121965,105690,1.153988078
116810076,1020,100684,87253,1.15393167
158464600,1057,132327,114876,1.151911626
20481793,1105,128555,111604,1.151885237
207285887,1110,103076,89562,1.150889886
198919797,1067,137052,119243,1.149350486
37563265,1062,145394,126502,1.149341512
190997039,1146,141512,123140,1.149196037
77242686,1121,116807,101733,1.148172176
261692619,1101,108109,94290,1.14655849
122543192,1039,112191,97855,1.146502478
149646665,1105,120209,104971,1.145163902
5692173,1100,74742,65315,1.144331317
104693011,1057,126537,110630,1.143785592
207828911,1081,144596,126426,1.143720437
261301871,1179,131815,115292,1.143314367
93791572,1049,155408,136066,1.142151603
209021674,1186,100045,87644,1.141492857
181646992,1176,135580,118912,1.140170883
57205903,1009,143232,125636,1.140055398
84663377,1374,109028,95689,1.139399513
132026175,944,103375,90736,1.139294216
126288606,1108,102877,90305,1.139217098
141812046,1081,129619,113928,1.137727337
105622265,1114,156729,137790,1.137448291
236500501,1167,121824,107136,1.137096774
64864323,924,80011,70441,1.135858378
162404350,1072,129443,114011,1.13535536
9847886,1079,132554,116782,1.13505506
93657150,1073,105776,93198,1.134959978
117841144,1171,103070,90821,1.134869689
215526937,1164,121704,107313,1.134103044
117700874,1109,104274,92027,1.133080509
235707769,1057,137247,121158,1.132793542
139995407,1122,135318,119473,1.132624108
249933327,1057,138152,121987,1.13251412
43040284,1173,140738,124343,1.131853019
176441100,1002,150559,133131,1.130908654
225650585,1044,122283,108151,1.130669157
128693925,1036,126530,111986,1.129873377
96701904,1010,115995,102714,1.129300777
186548999,1140,117159,103786,1.128851676
116275390,1075,133846,118598,1.128568779
98842376,1097,109843,97351,1.128319175
93924377,1077,104725,92837,1.128052393
92145452,1088,102758,91122,1.127696934
85350478,1189,100257,88999,1.126495803
232974026,1041,133177,118268,1.126061149
102921614,1121,110106,97810,1.125713117
141420292,1090,125525,111544,1.125340673
254765294,1019,123471,109771,1.124805276
177135299,1103,138076,122918,1.123317984
202664179,1104,114168,101635,1.123313819
8619001,1102,134793,120022,1.123069104
268252648,1160,138399,123233,1.123067685
29829491,1130,109694,97692,1.122855505
149514686,1145,121084,107875,1.122447277
27567727,1195,121276,108177,1.121088586
49489541,1035,160919,143546,1.121027406
184834465,1071,145896,130204,1.120518571
166389555,1028,119096,106293,1.120450077
231271981,1041,104576,93389,1.119789269
195794056,1013,135806,121303,1.11956011
266218125,1042,120041,107352,1.11819994
11892762,1163,158407,141848,1.116737635
229404292,1056,119228,106790,1.11647158
112123147,975,150226,134624,1.115893154
262099144,1000,129527,116315,1.113588101
78026943,1108,113896,102283,1.113537929
245206685,1087,120033,107827,1.113199848
74262472,1255,106213,95421,1.113098794
116931286,995,119468,107358,1.112800164
102133307,1118,116952,105236,1.111330723
148005710,1063,144164,129754,1.111056307
180817702,1156,128131,115378,1.110532337
149224544,1077,142566,128380,1.110500078
133270685,1114,92117,82965,1.110311577
110631526,1064,104975,94628,1.109343957
185781764,1023,131656,118700,1.109149115
230198001,1191,92757,83745,1.107612395
131494760,891,128198,115792,1.10714039
210867849,1029,139366,125992,1.106149597
102524553,1045,117421,106168,1.105992389
39453204,948,96022,86909,1.104856804
193157283,1103,142012,128644,1.103914679
78686065,1125,118679,107527,1.103713486
64716395,1022,74448,67466,1.103489165
15124523,1033,127664,115866,1.101824521
66596689,1038,139170,126336,1.101586246
136062203,1130,157592,143246,1.100149393
104295939,1009,127217,115713,1.099418389
224589441,965,129705,117999,1.099204231
5173580,1089,106009,96625,1.097117723
253978093,1010,137278,125198,1.096487164
255560193,1126,134342,122566,1.096078847
255439726,1168,113057,103231,1.095184586
47616281,939,131169,119869,1.094269578
81982193,1113,116470,106442,1.094210932
31669430,1074,122273,112029,1.091440609
3683050,1068,141927,130085,1.091032786
68610293,1089,112310,102954,1.090875537
152834668,1101,129618,118889,1.090243841
123078291,1106,103344,94808,1.090034596
45749933,995,136140,124938,1.089660472
56957907,1027,122036,112023,1.08938343
127070781,991,122232,112394,1.087531363
209289246,1097,111079,102185,1.087038215
87565475,972,107168,98593,1.08697372
258498221,1057,128285,118061,1.0865993
4084425,1103,115624,106417,1.086518132
165026865,1094,118185,108914,1.085122207
20748971,986,114189,105246,1.08497235
227941190,1028,117720,108514,1.08483698
154980636,979,153141,141209,1.084498863
224196199,1044,95661,88217,1.084382829
649228,1385,127714,117779,1.084352898
63520611,1072,105033,96866,1.084312349
58951568,1075,112010,103447,1.082776688
138781579,951,141042,130288,1.082540219
10130018,1049,126073,116533,1.081865223
21428269,1160,124752,115322,1.081771041
134410926,1030,134764,124599,1.081581714
150310467,1031,137144,126880,1.080895334
57888525,1025,105001,97174,1.080546237
48019314,985,106666,98732,1.080358952
17295420,1157,116954,108309,1.079817928
22760872,898,82761,76755,1.078248974
147184156,1025,141232,131158,1.076808125
113763005,1087,115468,107275,1.076373806
77777777,1066,112662,104817,1.074844729
116548462,987,122749,114205,1.074812837
110511196,1018,127488,118758,1.073510837
157524337,1009,131331,122600,1.071215334
127888630,853,142601,133185,1.070698652
69528359,1025,136588,127689,1.069692769
236107332,1079,137524,128788,1.067832407
146645366,997,159375,149310,1.067410086
265156098,933,123795,115978,1.067400714
64996898,1068,73477,68880,1.066739257
264764958,1009,123653,116011,1.065873064
210219135,1006,124421,116825,1.06502033
9039993,1341,126064,118499,1.063840201
34851564,1099,128408,120718,1.063702182
254369569,1030,112949,106210,1.063449769
236635175,1079,128112,120478,1.063364266
258903914,956,112570,105865,1.06333538
76150115,914,137879,129985,1.060730084
244812363,1099,106750,100651,1.060595523
137443048,1096,126287,119209,1.059374712
16474496,998,119243,112817,1.056959501
234757252,1052,106187,100577,1.05577816
252103473,1067,134084,127091,1.055023566
14010632,1052,84141,79778,1.054689263
232570183,1003,102172,96896,1.054450132
190176864,1032,125998,119610,1.053406906
55776992,1112,102104,96940,1.053270064
61502498,894,127257,120936,1.052267315
71148128,1066,118359,112485,1.052220296
194045544,969,154936,147397,1.051147581
202128635,1025,127242,121108,1.050649007
46291448,1027,116321,110768,1.050131807
80910011,958,133529,127222,1.049574759
78301055,1120,115893,110642,1.047459373
84534552,1025,114150,109012,1.047132426
95244255,949,120846,115571,1.045642938
26328068,1081,143126,136898,1.045493725
265952017,1093,118169,113067,1.045123688
210090683,1050,138769,132788,1.045041721
249791824,992,133842,128089,1.044914083
34324000,1074,114532,109716,1.043895147
3288671,1118,128368,123000,1.043642276
167069187,1037,145428,139466,1.04274877
191815032,1081,129212,124112,1.041091917
5433486,1043,113538,109103,1.040649661
140897426,1035,131642,126503,1.040623543
81183896,995,96105,92481,1.039186427
36199891,1005,136925,131772,1.039105425
79848824,1077,103416,99527,1.039074824
31132288,1010,115752,111444,1.038656186
49887936,974,150487,144968,1.038070471
1951445,965,70435,67917,1.037074665
195660402,975,161085,155564,1.035490216
226744446,929,131919,127414,1.035357182
183523467,947,158767,153567,1.033861442
127345184,969,109147,105652,1.033080301
139603904,1058,149095,144378,1.032671183
95907442,940,102332,99097,1.032644782
124843880,1082,105372,102047,1.032583025
16212584,938,128586,124604,1.031957241
246936830,968,152080,147420,1.031610365
62022737,1030,138450,134232,1.031423208
43715953,941,173964,168811,1.030525262
160625366,927,128275,124538,1.030006906
105374425,941,115080,111877,1.028629656
61367510,1015,130867,127266,1.028295067
12950814,991,108781,106203,1.024274267
161318146,1010,155148,151760,1.022324723
53505411,994,136989,134216,1.020660726
170151623,898,163137,159847,1.020582182
240900211,998,103987,101991,1.019570354
147718806,1059,107721,105879,1.017397218
52405853,1014,72993,71779,1.016913025
223508273,985,94723,93187,1.016482986
28383381,1033,123128,121292,1.015137025
8079510,1062,103673,102180,1.01461147
228474509,1003,106755,105465,1.012231546
248978722,978,100840,99798,1.010441091
38634235,1002,131389,130115,1.009791338
30224257,923,118584,117456,1.009603596
265284897,947,111683,110631,1.009509089
196757718,1018,143165,141924,1.008744117
41775413,911,111744,110780,1.008701932
189086872,973,131419,130355,1.008162326
132859842,1018,99147,98347,1.008134463
183101791,1075,125019,124026,1.008006386
31922924,1104,100021,99433,1.00591353
240616459,916,116356,115684,1.005808928
253170419,956,132450,131755,1.005274942
188288301,1140,115018,114458,1.004892624
78547689,1036,107092,106639,1.004247977
236374026,869,125621,125140,1.003843695
179060008,907,158739,158234,1.003191476
23294192,1067,107366,107132,1.002184221
238756451,1074,129178,128928,1.001939067
217584769,1010,115832,115640,1.001660325
136196332,981,114655,114754,0.999137285
121458830,875,128211,128350,0.998917024
160230489,1043,111934,112155,0.998029513
229532000,930,126770,127102,0.997387925
38360802,1000,104030,104425,0.996217381
4912235,951,111844,112323,0.995735513
266091776,1011,117477,118038,0.995247293
118356776,1026,122975,123613,0.994838731
186420052,921,133844,134881,0.992311741
77108558,884,144069,145191,0.992272248
9577556,807,183732,185175,0.992207371
263452078,1001,131362,132429,0.991942852
154848169,1017,123319,124340,0.991788644
255038213,912,132867,134038,0.991263671
218380978,992,122456,123914,0.988233775
57755451,979,119053,120545,0.987622879
3149770,1123,136082,138216,0.984560398
106191024,952,99850,101532,0.983433794
54827959,918,113818,115787,0.982994637
2488711,914,126938,129207,0.982439032
226863440,1002,122243,124866,0.978993481
115893245,980,120007,122767,0.977518388
182831492,1100,135542,138665,0.977478095
97489112,1067,95780,98022,0.977127584
11757246,1046,106345,108913,0.976421547
189891390,924,156343,160354,0.974986592
22891403,939,101515,104260,0.97367159
167600385,996,142174,146086,0.973221253
130700832,921,107074,110040,0.973046165
243424559,866,154217,158731,0.971561951
188435897,1021,122285,126122,0.969577076
121860472,1002,101624,105068,0.967221228
103760130,959,112344,116174,0.96703221
105775177,996,105585,109211,0.966798216
65778306,1014,111786,115888,0.964603755
188567210,984,96546,100091,0.96458223
22492982,981,92751,96181,0.964338071
178494645,894,152540,158297,0.963631654
0,1019,117741,122208,0.963447565
83743806,974,101325,105257,0.962643815
42334886,1010,114828,119299,0.962522737
68483594,1327,101617,105603,0.96225486
53253881,808,128939,134180,0.960940528
28247766,1009,110879,115407,0.960764945
65251998,926,118467,123471,0.959472265
135917734,1031,79958,83362,0.959166047
221387222,988,116427,121476,0.958436234
48140397,783,70284,73357,0.958108974
229138935,995,115343,120677,0.955799365
145303383,856,130561,136645,0.955475868
160363288,1077,105710,110677,0.95512166
213258892,874,142345,149187,0.954138095
132458104,1017,102885,107904,0.953486432
18221863,1129,112762,118551,0.951168695
134804214,1042,115870,121824,0.951126215
7554731,898,114570,120462,0.95108831
42757180,1019,129971,136686,0.950872803
6228771,893,111671,117771,0.948204566
66859157,892,126746,133786,0.947378649
34180621,953,126784,133969,0.94636819
139330784,914,131215,138699,0.946041428
90402934,966,99833,105695,0.944538531
255688768,1034,106233,112500,0.944293333
121992066,1043,99418,105335,0.943826838
127489367,964,145891,154592,0.943716363
90130742,914,89225,94698,0.942205749
180569807,829,151077,160367,0.942070376
187906825,932,130759,138852,0.941714919
108899187,855,134195,142740,0.940135911
120776103,874,77618,82631,0.939332696
122119533,966,93965,100092,0.938786317
255308444,820,118334,126372,0.936394138
202261023,923,103505,110691,0.93508054
190040166,860,116736,124844,0.935054949
200524691,1044,117900,126122,0.934809153
95379600,820,84876,91038,0.932313979
7280333,951,101671,109069,0.932171378
176316702,872,144044,154823,0.930378561
21160157,925,112752,121198,0.930312381
105490961,867,103090,110945,0.929199153
22222222,962,138418,148991,0.929035982
111860748,819,153122,164908,0.928529847
172925444,876,147706,159129,0.928215473
137851460,1075,115675,124691,0.927693258
99999999,776,167370,180465,0.927437453
60434454,939,77537,83757,0.92573755
143142329,832,168902,182512,0.925429561
101727056,790,143045,154685,0.924750299
103623219,768,164153,177522,0.924691024
44379577,681,178173,192733,0.924455075
178917518,744,167128,181010,0.923308105
21559483,995,98451,106674,0.922914675
91610650,948,103056,111695,0.922655446
44247974,647,180348,195545,0.922283873
129509218,908,106388,115418,0.921762637
133997095,834,108915,118240,0.92113498
230066937,869,102467,111398,0.919828004
12023075,827,153008,166416,0.919430824
187767397,875,140827,153220,0.919116303
88888888,800,155066,168867,0.91827296
16071209,877,127908,139650,0.915918367
56825614,938,106609,116463,0.915389437
65645307,853,118337,129534,0.913559374
257299245,822,106140,116201,0.913417268
140755274,814,141078,154572,0.912700877
147857609,764,156461,171462,0.912511227
228744565,793,149143,163669,0.911247701
177259467,739,157223,172689,0.910440155
58551455,893,103567,113786,0.91019106
170708814,931,126208,138741,0.909666213
106739918,837,129717,142988,0.907188016
151373602,830,141430,155972,0.906765317
84280425,1002,90750,100138,0.906249376
85740081,806,103244,114286,0.903382742
214973302,899,117338,130044,0.902294608
32346202,901,119340,132312,0.901959006
129765555,877,115152,127863,0.900588912
145974376,775,157145,174858,0.89870066
165705044,706,164303,182828,0.898675258
101479215,858,116078,129195,0.898471303
261567468,837,121460,135269,0.897914526
195115354,702,163982,182681,0.897641243
199320792,702,163892,182586,0.89761537
180424916,702,163946,182679,0.897454004
134278465,702,163958,182710,0.897367413
172014532,702,163729,182481,0.897238617
3411669,889,118333,131890,0.897209796
163651274,700,163807,182631,0.89692878
229798991,751,145248,162058,0.896271705
47752336,707,163639,182688,0.895729331
99670304,806,99502,111238,0.894496485
176999249,725,160348,179269,0.894454702
157666525,951,118677,132698,0.894339025
116140653,750,156425,174932,0.894204605
176861102,704,165043,184596,0.894076795
113493432,871,107255,120002,0.89377677
78428230,854,141962,158846,0.893708372
227671895,987,90321,101079,0.893568397
138644813,810,137993,154452,0.893436148
193025834,703,164877,184576,0.893274315
143688891,703,165032,184776,0.893146296
188829244,702,164749,184561,0.892653377
151112229,702,164744,184559,0.892635959
182565430,703,164882,184716,0.892624353
159401150,703,164910,184794,0.892399104
102262914,885,103676,116236,0.891943976
153213498,700,164610,184615,0.891639358
167887010,700,164612,184799,0.890762396
157394217,701,164433,184748,0.890039405
25663707,994,92452,103906,0.88976575
193648735,769,141919,159587,0.889289228
11366931,772,143119,160996,0.888959974
234474815,967,98492,111088,0.886612415
114143402,782,135325,152694,0.886249623
84792546,966,94397,106551,0.885932558
140124977,882,117035,132427,0.883769926
228873726,685,160014,181442,0.881901655
136460759,692,159798,181225,0.881765761
68069322,858,120832,137233,0.880487929
82111060,922,107142,121755,0.879980288
51234081,883,122717,139538,0.879452192
149106177,755,146396,166573,0.878869925
196891958,788,147419,167745,0.878827983
172142007,704,159925,181991,0.878752246
184197991,804,142463,162382,0.877332463
203063968,889,131693,150121,0.877245688
245992318,810,130991,149326,0.877214953
26047870,669,163209,186194,0.876553487
170579460,766,139904,159625,0.87645419
235843393,769,135984,155226,0.876038808
177950059,765,155616,177731,0.875570384
168035764,662,159213,181862,0.875460514
207148564,893,100007,114285,0.875066719
160498972,692,159319,182647,0.87227822
129248774,844,108387,124496,0.870606285
195253686,694,158199,181939,0.869516706
82802145,815,113508,130716,0.868355825
186670320,664,159633,183864,0.868212374
138510440,665,159501,183748,0.868042101
176721788,663,159521,183788,0.867962
155239402,664,159491,183757,0.867945167
184579047,664,159539,183819,0.867913545
169897853,664,159457,183740,0.867840427
174163943,664,159428,183736,0.867701485
161592938,663,159300,183593,0.86768014
136332263,663,159330,183633,0.867654507
146916730,663,159330,183641,0.867616709
40152715,664,161579,186240,0.867584837
40831135,782,110357,127202,0.867572837
178363501,663,159264,183650,0.867214811
256069435,784,114009,131487,0.867074312
70323735,939,97832,112836,0.867028253
168297353,688,159472,184024,0.86658262
177812231,784,137847,159151,0.866139704
267576600,876,93572,108108,0.865541866
187640747,954,109040,126015,0.865293814
38090820,855,114982,132936,0.864942529
88240643,973,93365,108113,0.863587173
9450668,664,161227,186733,0.863409253
19152527,743,133295,154447,0.86304687
136597916,667,151815,175975,0.862707771
144763155,685,157905,183209,0.861884514
178783496,685,157899,183215,0.861823541
148972188,685,158006,183363,0.861711469
177525967,665,157471,182744,0.86170271
112528525,694,150765,174978,0.861622604
140629638,685,157878,183246,0.861563145
176184601,683,158093,183515,0.861471814
144624890,818,123276,143149,0.861172624
190865048,682,157733,183169,0.861133707
197165960,684,157694,183189,0.860826796
142731419,684,157694,183209,0.860732824
123212559,862,82652,96057,0.860447443
26596477,647,160934,187190,0.859736097
196211924,695,154780,180034,0.859726496
162541802,681,150106,174689,0.859275627
87446480,797,105251,122631,0.858274009
79590740,726,130479,152050,0.858132193
241039146,821,74746,87506,0.854181428
202404464,847,104979,123480,0.850170068
94694071,873,107475,126482,0.849725653
144486117,758,133420,157087,0.849338265
137164151,884,125635,148076,0.848449445
19965517,764,135605,159868,0.848231041
155511847,756,119665,141196,0.847509844
14984868,783,121699,143806,0.846272061
43307050,672,152541,180489,0.845153998
74820141,761,121682,144190,0.843900409
25916704,630,159319,188807,0.84381935
206345872,827,103227,122563,0.842236238
172795977,666,149489,178173,0.8390104
232442939,885,111257,132607,0.838997941
243974883,664,143258,170920,0.838158203
216780927,758,125017,149500,0.836234114
15668695,773,117662,140771,0.835839768
235974414,651,146401,175324,0.835031142
230348153,743,137031,164217,0.834450757
112260469,618,154296,184914,0.834420325
243557594,668,147373,176630,0.834359962
62165221,640,151662,182358,0.831671767
170436844,669,149321,179680,0.831038513
172668823,642,148355,178526,0.830999406
142870574,656,146745,176665,0.830639912
50590240,803,122981,148079,0.83050939
261943628,806,125983,151786,0.830004085
111303900,603,148938,179448,0.829978601
163940202,708,121367,146436,0.828805758
11632884,706,147312,177779,0.828624303
158739772,830,102506,123791,0.828056967
107946176,848,103394,124889,0.827887164
211013709,659,138369,167186,0.827635089
43167332,652,147521,178259,0.827565509
46688980,815,127119,153734,0.826876293
253308535,827,97382,117997,0.825292168
98438737,763,64105,77679,0.825255217
250731093,868,105012,127386,0.824360605
77493327,758,64105,77767,0.82432137
265828963,826,97283,118037,0.824173776
30877266,775,81604,99074,0.823667158
235026589,650,146644,178150,0.823149032
99243690,913,90728,110244,0.822974493
17012539,732,116475,141770,0.821577203
208503672,786,123920,150893,0.821244193
59094095,552,166853,203205,0.821106764
141168049,743,144557,176372,0.819614224
177388254,632,142261,173613,0.819414445
107434679,701,107658,131405,0.819283893
48400109,442,164635,201092,0.818704871
36339836,634,148972,182159,0.81781301
47881224,627,107074,131061,0.816978354
29310205,765,101737,124639,0.81625334
126428801,727,113719,139493,0.815230872
183652532,652,143250,175907,0.814350765
252625111,742,123252,151541,0.813324447
248293918,621,139607,171955,0.811881015
181505060,697,124340,153472,0.810180359
32072679,870,108454,134000,0.809358209
259584354,866,91666,113323,0.808891399
40014485,433,162633,201198,0.808323144
156160214,780,102710,127204,0.807443162
208364113,814,95080,117864,0.806692459
28116812,755,101646,126140,0.805818931
110245133,603,145494,181169,0.803084413
131364947,699,88014,109782,0.801716128
203764465,549,140923,176062,0.800416899
83073150,823,105715,132264,0.799272667
135640503,581,142047,177900,0.79846543
252765847,851,97812,122553,0.798119997
50718994,578,138110,173109,0.797821026
44111255,399,157788,197780,0.79779553
236245029,677,137442,172587,0.796363573
15409215,663,143025,179647,0.796144661
117963324,924,88520,111186,0.796143399
12689421,391,156924,197125,0.796063412
62573805,607,139681,175473,0.796025599
35663761,394,156926,197145,0.795992797
2227464,392,156919,197226,0.795630394
50448268,385,157249,197763,0.795138626
153354938,625,139721,175787,0.794831245
42052616,394,156645,197104,0.79473273
52820012,711,129751,163297,0.794570629
48272398,392,155923,196359,0.794071064
134546466,577,145436,183174,0.793977311
160760392,606,138694,174768,0.793589215
36734627,677,129215,162837,0.793523585
29443729,391,156504,197312,0.793180344
100820028,875,102664,129453,0.79306003
14702704,393,156732,197636,0.793033658
118909137,873,95294,120175,0.792960266
85878375,734,62700,79071,0.792958227
54565907,393,156393,197281,0.792742332
43854386,552,116711,147297,0.792351507
10838474,580,151643,191409,0.792245924
183243669,649,133598,168765,0.791621485
25281278,393,156559,197781,0.791577553
33655409,378,156379,197878,0.790279869
249397623,801,102986,130409,0.789715434
148156153,658,122739,155478,0.789430016
52541206,372,155449,196986,0.789137299
65128440,386,156070,197981,0.788307969
62980194,385,156915,199071,0.788236358
7941859,753,115058,146039,0.787858038
56430795,722,94198,119581,0.787733837
214847144,730,107711,136781,0.787470482
156542833,872,94608,120231,0.786885246
21030769,372,155048,197061,0.786802056
37812723,384,155119,197163,0.786755121
58822641,368,154884,196869,0.786736358
35785913,560,150850,191762,0.786652204
23155710,381,156127,198480,0.786613261
124704138,776,101913,129565,0.786578165
117323011,691,116310,147964,0.786069584
244106694,628,133303,169588,0.786040286
194315146,608,138232,175911,0.785806459
91370,373,154725,196969,0.785529703
220411613,674,120016,152802,0.785434746
185909507,638,142459,181813,0.783546831
85056191,808,66038,84464,0.781847888
7140563,656,107347,137401,0.781267967
76981961,892,93505,119701,0.78115471
243839209,612,137395,175891,0.781137182
67521209,711,99333,127220,0.780797044
57345426,644,132373,169624,0.780390747
15259749,620,143180,183544,0.780085429
152309185,640,136355,174798,0.780071854
101218474,752,110714,142083,0.779220596
193285030,617,138132,177628,0.777647668
56157200,710,86768,111917,0.77528883
110381688,554,141084,182563,0.77279624
145557922,616,135569,175428,0.772789977
102003801,352,150510,194850,0.772440339
159550685,571,136307,176485,0.772343259
248160175,603,137293,178001,0.771304656
217715387,783,103390,134083,0.771089549
99120072,875,64914,84356,0.769524397
186958516,582,134263,174654,0.768737046
229664232,550,135442,176268,0.768386775
