Number,Wins,For,Against,Ratio
138369495,1798,124351,48590,2.559189134
184444737,1774,106723,41888,2.547817991
16346758,1603,117242,46539,2.519220439
213900726,1743,122283,48581,2.517095161
48963375,1726,116366,46439,2.505781778
113225102,1534,126216,50759,2.48657381
227135449,1492,103703,41853,2.477791317
210734699,1524,106224,42977,2.471647625
212983805,1711,110187,44616,2.469674556
114290110,1526,116285,47124,2.467638571
33384551,1549,109263,44304,2.466210726
32213634,1542,110445,44961,2.456462267
62437400,1635,122194,49917,2.447943586
114820241,1510,104285,42745,2.43970055
201051662,1701,108887,44873,2.426559401
213392786,1706,114006,46988,2.42627905
170844526,1757,120105,49857,2.408989711
179732087,1780,119574,49687,2.406544972
146517036,1773,121118,50367,2.404709433
135512005,1667,119022,49629,2.398234903
227267476,1609,119272,49833,2.39343407
44799780,1641,116387,48914,2.379421025
154435411,1671,127570,53691,2.376003427
250209380,1687,107306,45197,2.374184127
208756220,1579,115765,48857,2.369465993
204719752,1522,103354,43782,2.360650496
79457607,1567,109360,46458,2.353954109
15530939,1557,121120,51500,2.35184466
213759939,1727,122315,52387,2.334834978
94054106,1537,107497,46174,2.32808507
106880943,1585,117385,50601,2.319815814
251277704,1737,118949,51280,2.319598284
168425193,1776,123661,53342,2.318267032
192748596,1658,108311,46773,2.315673572
18770859,1607,119424,51612,2.313880493
232708283,1473,101574,43899,2.313811249
204444170,1516,104367,45183,2.309873182
114950482,1413,107292,46473,2.308695372
23844756,1588,136614,59417,2.299240958
13340421,1610,122194,53198,2.296966051
69124517,1579,117030,51043,2.29277276
208633678,1495,110956,48608,2.282669519
179337775,1798,122079,53646,2.275640309
131884724,1483,99944,43996,2.27166106
250477724,1666,114209,50327,2.269338526
157935299,1663,123543,54481,2.267634588
238370153,1585,120095,53057,2.263509056
205126328,1645,112567,49895,2.256077763
186031285,1601,124055,55332,2.242011856
168811755,1651,119772,53576,2.235553233
115080678,1603,117331,52509,2.234493135
242091750,1618,106252,47785,2.223542953
143940458,1649,117357,52903,2.218343005
256609812,1598,103934,46905,2.215840529
133423006,1464,122991,55775,2.205127745
37680577,1625,133431,60988,2.187823834
154565868,1656,127169,58326,2.180314097
217181548,1641,108110,49680,2.176127214
210486852,1580,115653,53188,2.174419042
13742076,1638,122276,56548,2.162339959
124968279,1464,101271,46963,2.156399719
194180971,1650,122233,56750,2.153885463
245339965,1566,115629,53722,2.152358438
61636075,1588,122944,57136,2.151778213
199860128,1779,127078,59061,2.15163983
7684039,1491,130881,61183,2.139172646
133842846,1405,120952,56717,2.13255285
261176537,1629,110377,51841,2.129144885
75236882,1431,103005,48485,2.124471486
226068291,1598,102768,48803,2.105772186
38764339,1400,100688,47980,2.098541059
54066153,1611,138264,66036,2.093767036
87963070,1557,131482,63020,2.086353539
152971195,1520,121162,58152,2.083539689
39048179,1465,106617,51250,2.080331707
134135222,1550,131297,63156,2.078931535
35388894,1577,120774,58201,2.075118984
63781512,1573,105139,50732,2.072439486
221649852,1582,117516,56857,2.066869515
142077409,1579,141574,68972,2.052630053
200654003,1641,105511,51533,2.047445326
221098447,1502,117863,57668,2.043819796
265698328,1459,99298,48845,2.032920463
183381009,1689,122476,60255,2.032627998
39320170,1754,117030,57691,2.028565981
239707085,1625,114060,56256,2.027517065
18504648,1571,117462,58087,2.022173636
142205704,1639,110696,54746,2.021992474
189480862,1538,106058,52506,2.019921533
262912288,1610,116645,57851,2.016300496
263054825,1688,123196,61125,2.015476483
56032859,1734,118516,58804,2.015441126
243017606,1522,107603,53416,2.014433877
71007683,1460,129451,64326,2.012421105
149921136,1667,125333,62420,2.00789811
50020742,1512,129685,64601,2.007476664
250343621,1653,121187,60441,2.005046243
227393369,1480,116263,58012,2.004119837
1546169,1538,118062,58927,2.003529791
45198962,1629,122915,61356,2.00330856
112825404,1361,100907,50471,1.999306532
175667441,1709,122119,61207,1.99518029
224319442,1491,118236,59286,1.994332557
123616252,1561,119215,60073,1.984502189
79206848,1390,122687,61838,1.984006598
173468628,1576,115581,58356,1.980618959
70858176,1386,122578,62013,1.976650057
80636370,1498,116921,59202,1.974950171
238631974,1576,99909,50612,1.974018019
75097024,1377,122461,62083,1.972536765
263716102,1596,119735,60869,1.967093266
246672938,1599,103912,52845,1.966354433
165581868,1588,135077,68710,1.96590016
1824732,1574,119018,60567,1.965063483
100162828,1417,99885,50939,1.960874772
62713957,1553,126448,64564,1.9584908
162821729,1644,120433,61515,1.957782655
81446349,1327,125594,64455,1.948553254
7419842,1522,116293,59824,1.943918829
225384009,1419,103431,53556,1.931268205
119301583,1318,99407,51545,1.928547871
240367610,1446,113406,58954,1.923635377
71700958,1445,115395,60038,1.922032713
60697672,1527,118269,61809,1.913459205
43976253,1524,118624,62057,1.911532946
150173453,1551,110994,58258,1.905214734
70589826,1441,126354,66449,1.901518458
58282357,1489,111310,58590,1.899812255
193521590,1631,116129,61142,1.899332701
27150911,1518,118151,62255,1.897855594
52269269,1547,126653,66744,1.897593791
59756773,1450,122278,64489,1.896106313
61095844,1518,123297,65149,1.892538642
23021332,1660,112315,59367,1.891875958
228199828,1337,104683,55428,1.888630295
263980890,1553,103159,54748,1.88425148
230602558,1622,128905,68492,1.882044618
148828061,1521,123587,65668,1.88199732
254509586,1555,102487,54468,1.881600206
161451397,1528,123617,65723,1.88087884
46016718,1427,131898,70210,1.878621279
169763207,1525,123577,65784,1.878526693
82947441,1418,108677,57999,1.873773686
157256087,1522,123392,66005,1.869434134
24892076,1346,100422,53796,1.866718715
36058347,1545,121084,64888,1.86604611
94314353,1371,130338,69881,1.86514217
127761770,1514,131550,70748,1.859416521
149789482,1494,110380,59397,1.858343014
120908772,1390,123308,66393,1.857243987
10280787,1413,132628,71702,1.849711305
48830609,1531,119385,64652,1.846578605
190319248,1590,117439,63722,1.842989862
98171848,1477,114460,62124,1.842444144
96969102,1418,110905,60249,1.84077744
196352550,1646,117007,63671,1.837681205
159964106,1506,112694,61331,1.837472078
84408315,1414,111280,60602,1.836243028
201183244,1589,114640,62679,1.829001739
151769325,1492,116606,63806,1.827508385
917045,1736,119096,65181,1.827158221
118496693,1485,114538,62711,1.826441932
80119295,1418,111075,60858,1.82515035
72812451,1406,113210,62170,1.820974747
248572747,1559,114664,63153,1.815654047
27977400,1371,106691,58798,1.814534508
142592271,1504,104209,57448,1.813970895
98985368,1411,113365,62580,1.811521253
180948786,1632,109891,60743,1.809113807
81305028,1462,113680,62887,1.807686803
124168666,1404,115595,64035,1.805184665
61894469,1467,118885,65860,1.805116915
31801175,1455,122368,67792,1.805050743
80760751,1285,96328,53409,1.803591155
27006844,1403,127315,70703,1.800701526
54192016,1470,133044,73972,1.798572433
263198502,1600,115317,64127,1.798259703
145694665,1517,139259,77525,1.796310867
108499734,1356,102160,57018,1.791714897
3943881,1506,139000,77626,1.790637158
40277892,1472,124024,69366,1.787965286
203339657,1463,120575,67456,1.787461456
108236178,1359,121240,67981,1.78343949
20889007,1403,140782,78958,1.782998556
169492923,1564,128826,72451,1.778112103
246535914,1578,111120,62551,1.7764704
166258354,1496,112773,63505,1.775812928
25157565,1401,140590,79200,1.775126263
73866677,1383,115083,64934,1.772307266
192483472,1614,110591,62435,1.77129815
198241221,1579,113705,64257,1.769534837
59622327,1501,114608,64776,1.769297271
248703286,1554,121993,69023,1.767425351
167466694,1465,106470,60259,1.766872998
164470748,1468,119271,67581,1.764859946
32991125,1408,131411,74481,1.76435601
191424409,1607,115045,65210,1.764223279
147577769,1451,119246,67688,1.761700745
150047540,1582,121993,69278,1.760919773
50979603,1510,136909,77935,1.756707513
236763555,1433,119531,68048,1.756568893
249528294,1460,119847,68269,1.755511286
119173104,1500,114223,65126,1.7538771
24633153,1424,130362,74395,1.752295181
260902893,1507,106954,61089,1.750789831
29184093,1482,129879,74198,1.750438017
34588073,1328,116085,66359,1.749348242
69664626,1415,110128,62965,1.749035178
171764932,1580,124915,71427,1.748848475
25533399,1388,118858,68106,1.745191319
243151779,1552,141710,81235,1.744445128
49770422,1488,129838,74441,1.744173238
103897058,1353,111462,63909,1.744073605
23982691,1457,111868,64216,1.742058054
50303448,1381,140067,80680,1.736080813
212848975,1452,113107,65189,1.735062664
113096836,1436,126286,72948,1.731178374
131755551,1429,108865,62912,1.730432986
37026556,1452,142561,82508,1.727844573
28776206,1441,129726,75153,1.726158636
23705006,1375,130126,75688,1.719242152
75374032,1308,135037,78586,1.718334054
219596772,1368,111661,65036,1.716910634
17955139,1560,126490,73728,1.715630425
196487218,1553,112327,65477,1.715518426
9312687,1407,117267,68359,1.715458096
159278009,1589,146046,85303,1.712085155
167744937,1590,146003,85375,1.710137628
70186813,1406,124593,73031,1.706028947
11111111,1248,106632,62669,1.701511114
64211903,1382,97890,57678,1.697180901
148701579,1449,122033,71964,1.695750653
132996411,1375,102981,60806,1.693599316
518307,1425,117850,69591,1.693466109
257153254,1329,95016,56247,1.689263427
20225387,1542,136732,81158,1.684763055
50165619,1325,121726,72257,1.684625711
103198309,1373,109791,65208,1.683704453
177664935,1467,115420,68594,1.68265446
19847617,1393,124857,74284,1.680806096
196066258,1536,146405,87286,1.677302202
116681864,1406,101464,60499,1.67711863
224993030,1340,101712,60680,1.676203032
112391087,1385,121504,72505,1.675801669
121040348,1355,135725,81020,1.675203653
54958027,1479,122828,73350,1.674546694
189762522,1386,112443,67153,1.674430033
60307323,1427,142914,85458,1.672330267
239978727,1464,111043,66429,1.671604269
90673887,1341,111866,66940,1.671138333
140373494,1471,121419,72726,1.669540467
81709682,1442,115060,68989,1.667802113
186298357,1459,115007,68967,1.667565647
