Number,Wins,For,Against,Ratio,,Nonreachable,,,,,,all2000,,,,,,Reachable,,,,
135917734,753,58829,61879,0.950710257,,,,,,,,,,,,,,,,,,
131099578,698,57057,60035,0.950395603,,,,,,,,,,,,,,,,,,
235157809,691,78476,82790,0.947892258,,,,,,,,,,,,,,,,,,
138238979,743,90660,95672,0.947612677,,,,,,,,,,,,,,,,,,
199446503,725,79005,83485,0.946337665,,,,,,,,,,,,,,,,,,
254111578,699,80107,84768,0.945014628,,,,,,,,,,,,,,,,,,
192078065,667,77683,82264,0.94431343,,,,,,,,,,,,,,,,,,
180014048,754,91703,97111,0.944311149,,,,,,,,,,,,,,,,,,
93924377,667,70150,74325,0.943827783,,,,,,,,,,,,,,,,,,
182975515,710,86024,91225,0.94298712,,,,,,,,,,,,,,,,,,
139995407,670,85725,90987,0.942167562,,,,,,,,,,,,,,,,,,
174438282,671,81028,86030,0.941857492,,,,,,,,,,,,,,,,,,
161723807,694,83695,88864,0.941832463,,,,,,,,,,,,,,,,,,
195522049,714,85944,91288,0.941459995,,,,,,,,,,,,,,,,,,
105622265,667,97496,103595,0.941126502,,,,,,,,,,,,,,,,,,
195929263,735,84601,90013,0.939875351,,,,,,,,,,,,,,,,,,
125755931,619,76467,81420,0.939167281,,,,,,,,,,,,,,,,,,
110631526,687,70595,75211,0.938625999,,,,,,,,,,,,,,,,,,
150576346,780,80750,86097,0.937895629,,,,,,,,,,,,,,,,,,
154710043,729,91498,97702,0.936500788,,,,,,,,,,,,,,,,,,
193405286,688,86662,92586,0.936016244,,,,,,,,,,,,,,,,,,
29829491,702,73201,78302,0.934854793,,,,,,,,,,,,,,,,,,
168170356,680,83922,89793,0.934616284,,,,,,,,,,,,,,,,,,
91745024,604,78210,83724,0.934140748,,,,,,,,,,,,,,,,,,
166655141,622,70906,76007,0.93288776,,,,,,,,,,,,,,,,,,
65918368,683,76346,81884,0.93236774,,,,,,,,,,,,,,,,,,
117841144,732,68539,73588,0.93138827,,,,,,,,,,,,,,,,,,
256880370,659,71591,76930,0.930599246,,,,,,,,,,,,,,,,,,
113763005,722,74848,80599,0.928646757,,,,,,,,,,,,,,,,,,
248020536,799,59110,63703,0.927899785,,,,,,,,,,,,,,,,,,
3683050,613,92386,99572,0.927831117,,,,,,,,,,,,,,,,,,
20481793,640,80338,86822,0.925318468,,,,,,,,,,,,,,,,,,
240113875,639,69825,75462,0.925300151,,,,,,,,,,,,,,,,,,
59485849,669,63450,68592,0.92503499,,,,,,,,,,,,,,,,,,
247211764,705,85293,92228,0.924805916,,,,,,,,,,,,,,,,,,
3288671,711,86257,93314,0.92437362,,,,,,,,,,,,,,,,,,
126288606,681,67160,72698,0.923821838,,,,,,,,,,,,,,,,,,
130453173,680,66986,72515,0.923753706,,,,,,,,,,,,,,,,,,
104693011,595,79000,85664,0.922207695,,,,,,,,,,,,,,,,,,
128823525,684,78286,84943,0.921629799,,,,,,,,,,,,,,,,,,
58951568,676,73810,80100,0.921473159,,,,,,,,,,,,,,,,,,
27567727,766,77181,83812,0.920882451,,,,,,,,,,,,,,,,,,
100418898,672,58309,63431,0.919250839,,,,,,,,,,,,,,,,,,
30619597,580,75497,82231,0.918108742,,,,,,,,,,,,,,,,,,
37154561,520,82821,90248,0.917704547,,,,,,,,,,,,,,,,,,
147718806,692,74242,80978,0.916816913,,,,,,,,,,,,,,,,,,
184057475,680,90399,98610,0.916732583,,,,,,,,,,,,,,,,,,
15124523,620,79254,86490,0.916337149,,,,,,,,,,,,,,,,,,
96040116,551,68799,75090,0.916220535,,,,,,,,,,,,,,,,,,
78026943,667,73962,80774,0.915665932,,,,,,,,,,,,,,,,,,
201592663,677,81298,88838,0.91512641,,,,,,,,,,,,,,,,,,
122543192,577,70353,76959,0.914162086,,,,,,,,,,,,,,,,,,
231271981,623,67663,74021,0.914105457,,,,,,,,,,,,,,,,,,
233111513,652,83498,91407,0.913474898,,,,,,,,,,,,,,,,,,
139603904,657,98213,107516,0.913473344,,,,,,,,,,,,,,,,,,
76708086,628,74791,81986,0.912241114,,,,,,,,,,,,,,,,,,
186548999,668,73710,80827,0.91194774,,,,,,,,,,,,,,,,,,
96701904,610,73955,81122,0.911651586,,,,,,,,,,,,,,,,,,
3149770,762,94620,103830,0.911297313,,,,,,,,,,,,,,,,,,
179861236,656,93860,102997,0.911288678,,,,,,,,,,,,,,,,,,
249262953,643,73112,80231,0.911268712,,,,,,,,,,,,,,,,,,
236107332,619,89247,97976,0.910906753,,,,,,,,,,,,,,,,,,
252901592,641,74372,81659,0.910763051,,,,,,,,,,,,,,,,,,
