Number,Wins,For,Against,Ratio,,Nonreachable,,,,,,all2000,,,,,,Reachable,,,,
149224544,587,82897,101142,0.819610053,,,,,,,,,,,,,,,,,,
253170419,529,83099,101393,0.819573343,,,,,,,,,,,,,,,,,,
210090683,613,81517,99693,0.817680278,,,,,,,,,,,,,,,,,,
209289246,660,64841,79460,0.816020639,,,,,,,,,,,,,,,,,,
137851460,685,78552,96267,0.815980554,,,,,,,,,,,,,,,,,,
193157283,614,81605,100079,0.815405829,,,,,,,,,,,,,,,,,,
120776103,591,53910,66119,0.815348085,,,,,,,,,,,,,,,,,,
261812539,605,74442,91398,0.814481717,,,,,,,,,,,,,,,,,,
12950814,572,69505,85355,0.814304962,,,,,,,,,,,,,,,,,,
62022737,559,84660,104006,0.8139915,,,,,,,,,,,,,,,,,,
71148128,588,71806,88294,0.813260244,,,,,,,,,,,,,,,,,,
228474509,560,66759,82141,0.812736636,,,,,,,,,,,,,,,,,,
224589441,497,76084,93694,0.81204773,,,,,,,,,,,,,,,,,,
122119533,628,63930,78735,0.811964184,,,,,,,,,,,,,,,,,,
244812363,624,64756,79761,0.811875478,,,,,,,,,,,,,,,,,,
21559483,649,66267,81740,0.810704673,,,,,,,,,,,,,,,,,,
210867849,548,80376,99241,0.809907196,,,,,,,,,,,,,,,,,,
258498221,589,74327,91844,0.809274422,,,,,,,,,,,,,,,,,,
83743806,639,62815,77644,0.809012931,,,,,,,,,,,,,,,,,,
25663707,657,64780,80128,0.80845647,,,,,,,,,,,,,,,,,,
42757180,592,82898,102617,0.807838857,,,,,,,,,,,,,,,,,,
78428230,535,95188,117903,0.807341628,,,,,,,,,,,,,,,,,,
252103473,612,78423,97361,0.805486797,,,,,,,,,,,,,,,,,,
54827959,515,71286,88518,0.80532773,,,,,,,,,,,,,,,,,,
127345184,540,67334,83686,0.80460292,,,,,,,,,,,,,,,,,,
68069322,558,81009,100686,0.804570645,,,,,,,,,,,,,,,,,,
195794056,545,76701,95522,0.802966856,,,,,,,,,,,,,,,,,,
53505411,527,83971,104649,0.802406139,,,,,,,,,,,,,,,,,,
253978093,528,79128,98662,0.802010906,,,,,,,,,,,,,,,,,,
265952017,631,71618,89394,0.801149965,,,,,,,,,,,,,,,,,,
195660402,490,92733,115761,0.8010729,,,,,,,,,,,,,,,,,,
41775413,537,69595,86893,0.800927578,,,,,,,,,,,,,,,,,,
105775177,589,68667,85806,0.800258723,,,,,,,,,,,,,,,,,,
264764958,560,73073,91315,0.800229973,,,,,,,,,,,,,,,,,,
194045544,495,89596,112032,0.79973579,,,,,,,,,,,,,,,,,,
49887936,495,85585,107218,0.798233506,,,,,,,,,,,,,,,,,,
161318146,546,90101,112949,0.797714013,,,,,,,,,,,,,,,,,,
136196332,535,70576,88516,0.797324777,,,,,,,,,,,,,,,,,,
210219135,546,73114,91945,0.795192778,,,,,,,,,,,,,,,,,,
16212584,478,77033,96879,0.795146523,,,,,,,,,,,,,,,,,,
81183896,558,58536,73619,0.795120825,,,,,,,,,,,,,,,,,,
147184156,531,81514,102577,0.794661571,,,,,,,,,,,,,,,,,,
177135299,605,75820,95500,0.793926702,,,,,,,,,,,,,,,,,,
116548462,504,72748,91659,0.793680926,,,,,,,,,,,,,,,,,,
234757252,567,62453,78745,0.793104324,,,,,,,,,,,,,,,,,,
61502498,420,75002,94862,0.79064325,,,,,,,,,,,,,,,,,,
21160157,576,73607,93109,0.790546564,,,,,,,,,,,,,,,,,,
266218125,559,68465,86609,0.79050676,,,,,,,,,,,,,,,,,,
165026865,616,68370,86498,0.7904229,,,,,,,,,,,,,,,,,,
183523467,463,90767,114908,0.789910189,,,,,,,,,,,,,,,,,,
84280425,654,61780,78292,0.789097226,,,,,,,,,,,,,,,,,,
188288301,663,69558,88225,0.788415982,,,,,,,,,,,,,,,,,,
262099144,532,72804,92362,0.788246248,,,,,,,,,,,,,,,,,,
146645366,525,88455,112439,0.786693229,,,,,,,,,,,,,,,,,,
254765294,533,69766,88742,0.78616664,,,,,,,,,,,,,,,,,,
131494760,427,71654,91431,0.783694808,,,,,,,,,,,,,,,,,,
121860472,594,65243,83304,0.783191683,,,,,,,,,,,,,,,,,,
101727056,489,88382,112885,0.782938389,,,,,,,,,,,,,,,,,,
154848169,627,74739,95495,0.782648306,,,,,,,,,,,,,,,,,,
98438737,565,46980,60069,0.782100584,,,,,,,,,,,,,,,,,,
183101791,612,75374,96514,0.78096442,,,,,,,,,,,,,,,,,,
95244255,478,70835,90737,0.780662795,,,,,,,,,,,,,,,,,,
240900211,547,62478,80106,0.779941577,,,,,,,,,,,,,,,,,,
140897426,560,75841,97319,0.779303117,,,,,,,,,,,,,,,,,,
138781579,464,79994,102660,0.779212936,,,,,,,,,,,,,,,,,,
95379600,528,56400,72420,0.778790389,,,,,,,,,,,,,,,,,,
77493327,560,46860,60182,0.778638131,,,,,,,,,,,,,,,,,,
28247766,580,70078,90002,0.778627142,,,,,,,,,,,,,,,,,,
7554731,540,72436,93067,0.778320995,,,,,,,,,,,,,,,,,,
127070781,515,70223,90245,0.778137293,,,,,,,,,,,,,,,,,,
246936830,480,85938,110468,0.777944744,,,,,,,,,,,,,,,,,,
160625366,496,75384,96954,0.777523362,,,,,,,,,,,,,,,,,,
127888630,388,78083,100493,0.776999393,,,,,,,,,,,,,,,,,,
167069187,560,82081,105790,0.77588619,,,,,,,,,,,,,,,,,,
47616281,471,74218,95691,0.775600631,,,,,,,,,,,,,,,,,,
127489367,552,87947,113436,0.77530061,,,,,,,,,,,,,,,,,,
77108558,446,80021,103312,0.774556683,,,,,,,,,,,,,,,,,,
95907442,478,62322,80568,0.773532916,,,,,,,,,,,,,,,,,,
103760130,510,69561,89942,0.773398412,,,,,,,,,,,,,,,,,,
241039146,565,52896,68616,0.770898916,,,,,,,,,,,,,,,,,,
34180621,527,77976,101152,0.770879469,,,,,,,,,,,,,,,,,,
157524337,529,75368,97829,0.770405503,,,,,,,,,,,,,,,,,,
137164151,542,83879,108975,0.769708649,,,,,,,,,,,,,,,,,,
16474496,522,69128,89837,0.769482507,,,,,,,,,,,,,,,,,,
218380978,537,73028,94935,0.769242113,,,,,,,,,,,,,,,,,,
108899187,470,82855,108032,0.766948682,,,,,,,,,,,,,,,,,,
85056191,561,48456,63249,0.766114879,,,,,,,,,,,,,,,,,,
249791824,526,76305,99674,0.765545679,,,,,,,,,,,,,,,,,,
190040166,538,74580,97458,0.765252724,,,,,,,,,,,,,,,,,,
90402934,582,64216,83918,0.765223194,,,,,,,,,,,,,,,,,,
238756451,626,74256,97062,0.765036781,,,,,,,,,,,,,,,,,,
30224257,455,71704,93831,0.764182413,,,,,,,,,,,,,,,,,,
85740081,467,66899,87557,0.764062268,,,,,,,,,,,,,,,,,,
196757718,550,82091,107541,0.763346073,,,,,,,,,,,,,,,,,,
255038213,492,79621,104314,0.763282014,,,,,,,,,,,,,,,,,,
150310467,551,74977,98327,0.762527078,,,,,,,,,,,,,,,,,,
56157200,540,62573,82111,0.762053805,,,,,,,,,,,,,,,,,,
185781764,531,72517,95214,0.76162119,,,,,,,,,,,,,,,,,,
240616459,465,69816,91811,0.760431757,,,,,,,,,,,,,,,,,,
114143402,487,85925,113055,0.760028305,,,,,,,,,,,,,,,,,,
80910011,488,75966,99956,0.759994398,,,,,,,,,,,,,,,,,,
105490961,449,65848,86657,0.75986937,,,,,,,,,,,,,,,,,,
188567210,608,60501,79682,0.759280641,,,,,,,,,,,,,,,,,,
11757246,579,66493,87691,0.758264816,,,,,,,,,,,,,,,,,,
38090820,554,75186,99188,0.758015082,,,,,,,,,,,,,,,,,,
170151623,415,90857,120047,0.756845236,,,,,,,,,,,,,,,,,,
121458830,456,75221,99631,0.754995935,,,,,,,,,,,,,,,,,,
248978722,507,59630,79001,0.754800572,,,,,,,,,,,,,,,,,,
189086872,502,76336,101234,0.754054962,,,,,,,,,,,,,,,,,,
202261023,497,65281,86584,0.753961471,,,,,,,,,,,,,,,,,,
226863440,538,72158,95782,0.753356581,,,,,,,,,,,,,,,,,,
65251998,506,72678,96518,0.752999441,,,,,,,,,,,,,,,,,,
254369569,533,64747,86038,0.752539576,,,,,,,,,,,,,,,,,,
133997095,428,67794,90239,0.751271623,,,,,,,,,,,,,,,,,,
203063968,527,84254,112227,0.750746255,,,,,,,,,,,,,,,,,,
179060008,426,88964,118561,0.750364791,,,,,,,,,,,,,,,,,,
139330784,476,79362,105778,0.750269432,,,,,,,,,,,,,,,,,,
188435897,620,72426,96551,0.750132055,,,,,,,,,,,,,,,,,,
3411669,535,74516,99561,0.748445677,,,,,,,,,,,,,,,,,,
265156098,463,69328,92667,0.748141194,,,,,,,,,,,,,,,,,,
121992066,613,63509,84992,0.747235034,,,,,,,,,,,,,,,,,,
186420052,473,77596,103855,0.747157094,,,,,,,,,,,,,,,,,,
182831492,636,76989,103114,0.746639642,,,,,,,,,,,,,,,,,,
74820141,467,79840,107127,0.745283635,,,,,,,,,,,,,,,,,,
167600385,535,80311,107950,0.743964799,,,,,,,,,,,,,,,,,,
258903914,480,62708,84428,0.742739376,,,,,,,,,,,,,,,,,,
226744446,442,74374,100457,0.74035657,,,,,,,,,,,,,,,,,,
7280333,563,62586,84614,0.739664831,,,,,,,,,,,,,,,,,,
85878375,542,45660,61741,0.739540986,,,,,,,,,,,,,,,,,,
127633505,636,45251,61383,0.737191079,,,,,,,,,,,,,,,,,,
123212559,546,54724,74377,0.735765089,,,,,,,,,,,,,,,,,,
243424559,408,86487,117767,0.734390789,,,,,,,,,,,,,,,,,,
148156153,403,84113,114603,0.733951118,,,,,,,,,,,,,,,,,,
56825614,539,66970,91325,0.733315083,,,,,,,,,,,,,,,,,,
187906825,496,77227,105580,0.731454821,,,,,,,,,,,,,,,,,,
82802145,415,71887,98341,0.730997244,,,,,,,,,,,,,,,,,,
30877266,539,56742,77829,0.729059862,,,,,,,,,,,,,,,,,,
263452078,525,71974,98735,0.728961361,,,,,,,,,,,,,,,,,,
47881224,433,69877,96106,0.727082596,,,,,,,,,,,,,,,,,,
115893245,499,70430,96988,0.72617231,,,,,,,,,,,,,,,,,,
70323735,567,64306,88660,0.725310174,,,,,,,,,,,,,,,,,,
144624890,437,77792,107289,0.725069672,,,,,,,,,,,,,,,,,,
132458104,582,63234,87215,0.725035831,,,,,,,,,,,,,,,,,,
47752336,306,96893,133641,0.725024506,,,,,,,,,,,,,,,,,,
132859842,542,57433,79238,0.724816376,,,,,,,,,,,,,,,,,,
200524691,632,69836,96663,0.722468783,,,,,,,,,,,,,,,,,,
19965517,454,82388,114296,0.720830125,,,,,,,,,,,,,,,,,,
102262914,486,64392,89476,0.719656668,,,,,,,,,,,,,,,,,,
178494645,423,85133,118527,0.718258287,,,,,,,,,,,,,,,,,,
255688768,598,61717,85999,0.71764788,,,,,,,,,,,,,,,,,,
229532000,441,71403,99689,0.716257561,,,,,,,,,,,,,,,,,,
227671895,541,58296,81654,0.713939305,,,,,,,,,,,,,,,,,,
217584769,543,64833,90885,0.713352038,,,,,,,,,,,,,,,,,,
101479215,431,71190,100016,0.711786114,,,,,,,,,,,,,,,,,,
172925444,431,82776,116379,0.711262341,,,,,,,,,,,,,,,,,,
6622790,588,63807,89775,0.710743525,,,,,,,,,,,,,,,,,,
99120072,632,46191,65098,0.70956097,,,,,,,,,,,,,,,,,,
145303383,396,74999,105698,0.70955931,,,,,,,,,,,,,,,,,,
65778306,564,65193,91947,0.709028027,,,,,,,,,,,,,,,,,,
157666525,541,71469,100840,0.708736612,,,,,,,,,,,,,,,,,,
87446480,418,65742,92961,0.707199793,,,,,,,,,,,,,,,,,,
113493432,487,67609,95734,0.706217227,,,,,,,,,,,,,,,,,,
187767397,427,82156,116418,0.705698432,,,,,,,,,,,,,,,,,,
140755274,368,82309,116693,0.705346508,,,,,,,,,,,,,,,,,,
140124977,480,70333,99829,0.704534754,,,,,,,,,,,,,,,,,,
32346202,466,71990,102313,0.70362515,,,,,,,,,,,,,,,,,,
106739918,410,74487,105932,0.70315863,,,,,,,,,,,,,,,,,,
213258892,419,78860,112235,0.702632869,,,,,,,,,,,,,,,,,,
82111060,548,66007,94025,0.702015421,,,,,,,,,,,,,,,,,,
266091776,528,66598,94904,0.701740706,,,,,,,,,,,,,,,,,,
265284897,480,62264,88761,0.701479253,,,,,,,,,,,,,,,,,,
229138935,524,67761,96639,0.701176544,,,,,,,,,,,,,,,,,,
202404464,473,67194,95843,0.701084065,,,,,,,,,,,,,,,,,,
255308444,418,69284,98922,0.700390206,,,,,,,,,,,,,,,,,,
151373602,376,81936,117006,0.700271781,,,,,,,,,,,,,,,,,,
176316702,409,81424,116418,0.699410744,,,,,,,,,,,,,,,,,,
51234081,489,74029,105858,0.699323622,,,,,,,,,,,,,,,,,,
261567468,376,70862,101367,0.699063798,,,,,,,,,,,,,,,,,,
221387222,552,66832,95636,0.698816345,,,,,,,,,,,,,,,,,,
117963324,600,59055,84582,0.698198198,,,,,,,,,,,,,,,,,,
180569807,367,84288,120754,0.698014144,,,,,,,,,,,,,,,,,,
53253881,356,71904,103020,0.697961561,,,,,,,,,,,,,,,,,,
43854386,353,75331,108001,0.697502801,,,,,,,,,,,,,,,,,,
236374026,400,68151,97758,0.697139876,,,,,,,,,,,,,,,,,,
12023075,385,84331,120978,0.697077155,,,,,,,,,,,,,,,,,,
138644813,387,80723,116054,0.695564134,,,,,,,,,,,,,,,,,,
88240643,591,60310,86946,0.693648932,,,,,,,,,,,,,,,,,,
66859157,453,70855,102398,0.691956874,,,,,,,,,,,,,,,,,,
206345872,452,65230,94343,0.691413247,,,,,,,,,,,,,,,,,,
257299245,431,63086,91271,0.691194355,,,,,,,,,,,,,,,,,,
17012539,413,72514,104921,0.691129516,,,,,,,,,,,,,,,,,,
76981961,578,62663,90691,0.69095059,,,,,,,,,,,,,,,,,,
91610650,493,61023,88590,0.688824924,,,,,,,,,,,,,,,,,,
19152527,387,77654,112746,0.688751707,,,,,,,,,,,,,,,,,,
170708814,477,73607,107059,0.687536779,,,,,,,,,,,,,,,,,,
13605079,578,46419,67632,0.6863467,,,,,,,,,,,,,,,,,,
16071209,428,71326,103944,0.686196413,,,,,,,,,,,,,,,,,,
50718994,334,86480,126237,0.68506064,,,,,,,,,,,,,,,,,,
65645307,429,68358,99839,0.684682339,,,,,,,,,,,,,,,,,,
14984868,448,73513,107441,0.684217384,,,,,,,,,,,,,,,,,,
68213887,694,67847,99284,0.683362878,,,,,,,,,,,,,,,,,,
145974376,320,87044,127437,0.683035539,,,,,,,,,,,,,,,,,,
99670304,395,59305,86908,0.682388273,,,,,,,,,,,,,,,,,,
15259749,388,90459,132934,0.680480539,,,,,,,,,,,,,,,,,,
111860748,358,81762,120158,0.680454069,,,,,,,,,,,,,,,,,,
94694071,478,66216,97314,0.680436525,,,,,,,,,,,,,,,,,,
177950059,349,87453,128741,0.679294087,,,,,,,,,,,,,,,,,,
11366931,342,83042,122278,0.679124618,,,,,,,,,,,,,,,,,,
187640747,531,64159,94479,0.679082124,,,,,,,,,,,,,,,,,,
15668695,355,70277,103798,0.677055435,,,,,,,,,,,,,,,,,,
46688980,427,77577,114593,0.676978524,,,,,,,,,,,,,,,,,,
207148564,486,59304,87626,0.676785429,,,,,,,,,,,,,,,,,,
7941859,406,73439,108749,0.675307359,,,,,,,,,,,,,,,,,,
130700832,463,59613,88318,0.674981318,,,,,,,,,,,,,,,,,,
230066937,411,59551,88273,0.674623044,,,,,,,,,,,,,,,,,,
7140563,423,69430,103514,0.670730529,,,,,,,,,,,,,,,,,,
50590240,432,73718,110099,0.669561031,,,,,,,,,,,,,,,,,,
56430795,442,61551,91961,0.669316341,,,,,,,,,,,,,,,,,,
129765555,433,66009,98651,0.66911638,,,,,,,,,,,,,,,,,,
245992318,404,75013,112137,0.668940671,,,,,,,,,,,,,,,,,,
52820012,434,78757,117844,0.668315739,,,,,,,,,,,,,,,,,,
232442939,524,67946,101705,0.668069416,,,,,,,,,,,,,,,,,,
25916704,244,91940,137712,0.667625189,,,,,,,,,,,,,,,,,,
232045222,622,53572,80475,0.665697422,,,,,,,,,,,,,,,,,,
33805631,368,82205,123803,0.663998449,,,,,,,,,,,,,,,,,,
149106177,310,81856,123348,0.663618381,,,,,,,,,,,,,,,,,,
229798991,299,78625,118505,0.663474115,,,,,,,,,,,,,,,,,,
59898534,533,51736,78094,0.662483674,,,,,,,,,,,,,,,,,,
156160214,421,64404,97764,0.658770099,,,,,,,,,,,,,,,,,,
234474815,564,55641,84509,0.658403247,,,,,,,,,,,,,,,,,,
98308754,568,65165,99005,0.658199081,,,,,,,,,,,,,,,,,,
40831135,356,64799,98536,0.657617521,,,,,,,,,,,,,,,,,,
228744565,319,79143,120769,0.655325456,,,,,,,,,,,,,,,,,,
26047870,266,85476,130446,0.655259648,,,,,,,,,,,,,,,,,,
21829708,548,46692,71428,0.65369323,,,,,,,,,,,,,,,,,,
107434679,380,64599,98876,0.653333468,,,,,,,,,,,,,,,,,,
124704138,436,62129,95118,0.653178158,,,,,,,,,,,,,,,,,,
193648735,328,77987,119968,0.650065017,,,,,,,,,,,,,,,,,,
170579460,325,78170,120443,0.649020699,,,,,,,,,,,,,,,,,,
36734627,386,76870,118519,0.64858799,,,,,,,,,,,,,,,,,,
214973302,479,65134,100493,0.648144647,,,,,,,,,,,,,,,,,,
156542833,458,62163,96178,0.646332841,,,,,,,,,,,,,,,,,,
58551455,468,58918,91186,0.646129888,,,,,,,,,,,,,,,,,,
196891958,347,77844,120577,0.64559576,,,,,,,,,,,,,,,,,,
129509218,462,59647,92656,0.643746762,,,,,,,,,,,,,,,,,,
100960169,572,57853,90042,0.642511273,,,,,,,,,,,,,,,,,,
163940202,301,71972,112017,0.642509619,,,,,,,,,,,,,,,,,,
155511847,324,69380,108033,0.642211176,,,,,,,,,,,,,,,,,,
67521209,430,60819,95047,0.639883426,,,,,,,,,,,,,,,,,,
28116812,416,63959,99979,0.639724342,,,,,,,,,,,,,,,,,,
7812053,386,66900,105072,0.636706259,,,,,,,,,,,,,,,,,,
177812231,383,75024,117860,0.636551841,,,,,,,,,,,,,,,,,,
52008213,392,75287,118352,0.636127822,,,,,,,,,,,,,,,,,,
117323011,313,67074,105529,0.635597798,,,,,,,,,,,,,,,,,,
184197991,350,74960,118208,0.634136437,,,,,,,,,,,,,,,,,,
79590740,281,70526,111772,0.630980925,,,,,,,,,,,,,,,,,,
220411613,309,71435,113245,0.630800477,,,,,,,,,,,,,,,,,,
185378428,302,73029,115986,0.629636335,,,,,,,,,,,,,,,,,,
235974414,244,80686,128192,0.629415252,,,,,,,,,,,,,,,,,,
219057746,425,56145,89323,0.628561513,,,,,,,,,,,,,,,,,,
99243690,517,55718,88644,0.628559181,,,,,,,,,,,,,,,,,,
70722339,337,67794,108350,0.625694509,,,,,,,,,,,,,,,,,,
131364947,368,53737,85919,0.625437912,,,,,,,,,,,,,,,,,,
267303041,311,70238,112388,0.62495996,,,,,,,,,,,,,,,,,,
235843393,320,71268,114112,0.624544307,,,,,,,,,,,,,,,,,,
40152715,258,80529,128952,0.624488182,,,,,,,,,,,,,,,,,,
14570760,284,71215,114214,0.62352251,,,,,,,,,,,,,,,,,,
265828963,425,56972,91637,0.621713937,,,,,,,,,,,,,,,,,,
252625111,346,70143,112934,0.621097278,,,,,,,,,,,,,,,,,,
158739772,413,60705,97754,0.620997606,,,,,,,,,,,,,,,,,,
234222,256,75377,121447,0.620657571,,,,,,,,,,,,,,,,,,
253308535,422,56948,91765,0.62058519,,,,,,,,,,,,,,,,,,
83073150,432,61674,99521,0.619708403,,,,,,,,,,,,,,,,,,
29310205,358,59487,96027,0.619482021,,,,,,,,,,,,,,,,,,
256069435,390,63800,103006,0.619381395,,,,,,,,,,,,,,,,,,
165307099,461,46900,75747,0.619166436,,,,,,,,,,,,,,,,,,
208503672,376,69283,112241,0.617269982,,,,,,,,,,,,,,,,,,
32072679,439,63705,103326,0.616543755,,,,,,,,,,,,,,,,,,
62573805,234,78558,127904,0.614195021,,,,,,,,,,,,,,,,,,
129248774,408,59172,96812,0.611205222,,,,,,,,,,,,,,,,,,
43167332,211,80161,131255,0.61072721,,,,,,,,,,,,,,,,,,
259584354,473,53233,87387,0.609163834,,,,,,,,,,,,,,,,,,
5954235,360,68507,112525,0.608815819,,,,,,,,,,,,,,,,,,
181505060,309,69989,115043,0.608372522,,,,,,,,,,,,,,,,,,
214847144,332,64237,105691,0.607781173,,,,,,,,,,,,,,,,,,
267576600,420,51053,84099,0.607058348,,,,,,,,,,,,,,,,,,
261943628,360,68509,112863,0.607010269,,,,,,,,,,,,,,,,,,
211013709,244,74915,123795,0.605153681,,,,,,,,,,,,,,,,,,
118909137,474,56309,93098,0.604835764,,,,,,,,,,,,,,,,,,
107946176,417,58996,97747,0.603558165,,,,,,,,,,,,,,,,,,
101218474,353,65639,108942,0.602513264,,,,,,,,,,,,,,,,,,
163236154,418,68774,114178,0.602340206,,,,,,,,,,,,,,,,,,
211398884,470,44482,74125,0.600094435,,,,,,,,,,,,,,,,,,
100820028,476,60792,101386,0.599609414,,,,,,,,,,,,,,,,,,
208364113,407,55694,92907,0.599459675,,,,,,,,,,,,,,,,,,
32613908,258,70522,117732,0.599004519,,,,,,,,,,,,,,,,,,
207016653,312,68009,113541,0.598981866,,,,,,,,,,,,,,,,,,
91078774,440,60446,101197,0.597310197,,,,,,,,,,,,,,,,,,
13878727,267,67854,113726,0.596644567,,,,,,,,,,,,,,,,,,
111303900,278,77587,130286,0.595512948,,,,,,,,,,,,,,,,,,
249397623,412,58642,98570,0.594927463,,,,,,,,,,,,,,,,,,
76437865,438,46846,79255,0.591079427,,,,,,,,,,,,,,,,,,
104156901,490,55573,94082,0.590686848,,,,,,,,,,,,,,,,,,
252491996,239,67936,115322,0.589098351,,,,,,,,,,,,,,,,,,
230348153,306,70758,120329,0.588037796,,,,,,,,,,,,,,,,,,
252765847,443,55601,94677,0.587270404,,,,,,,,,,,,,,,,,,
177388254,209,73727,126025,0.585018845,,,,,,,,,,,,,,,,,,
216780927,299,66748,114573,0.582580538,,,,,,,,,,,,,,,,,,
138106213,391,69528,119675,0.58097347,,,,,,,,,,,,,,,,,,
217715387,405,59726,103142,0.579065754,,,,,,,,,,,,,,,,,,
87185951,297,52104,90004,0.578907604,,,,,,,,,,,,,,,,,,
88370103,505,53665,93105,0.576392245,,,,,,,,,,,,,,,,,,
163789571,278,66707,116362,0.573271343,,,,,,,,,,,,,,,,,,
73731668,495,54358,95036,0.571972726,,,,,,,,,,,,,,,,,,
81577988,487,47247,82728,0.571112562,,,,,,,,,,,,,,,,,,
253578595,274,75035,131642,0.569992859,,,,,,,,,,,,,,,,,,
114016637,375,64105,112483,0.569908342,,,,,,,,,,,,,,,,,,
121185138,374,57132,100324,0.569474901,,,,,,,,,,,,,,,,,,
105916159,401,57410,101066,0.568044644,,,,,,,,,,,,,,,,,,
53922432,214,66403,117099,0.567067182,,,,,,,,,,,,,,,,,,
78950289,454,60511,107497,0.562908732,,,,,,,,,,,,,,,,,,
54439259,227,62627,111289,0.56274205,,,,,,,,,,,,,,,,,,
85200619,609,50150,89220,0.562093701,,,,,,,,,,,,,,,,,,
126428801,295,61007,108749,0.560989067,,,,,,,,,,,,,,,,,,
79331563,395,55613,99271,0.56021396,,,,,,,,,,,,,,,,,,
151243785,267,67521,120687,0.559472023,,,,,,,,,,,,,,,,,,
133575710,187,55864,99937,0.558992165,,,,,,,,,,,,,,,,,,
250731093,440,55810,100143,0.557303057,,,,,,,,,,,,,,,,,,
73337106,445,39137,70237,0.557213435,,,,,,,,,,,,,,,,,,
185257957,415,50056,89898,0.556808828,,,,,,,,,,,,,,,,,,
12814555,332,64108,115228,0.55635783,,,,,,,,,,,,,,,,,,
268383367,360,56065,101066,0.554736509,,,,,,,,,,,,,,,,,,
153893903,287,65888,119175,0.552867632,,,,,,,,,,,,,,,,,,
92959576,449,53781,97491,0.551650922,,,,,,,,,,,,,,,,,,
87320546,503,39893,72583,0.549619057,,,,,,,,,,,,,,,,,,
97763413,273,57271,104552,0.54777527,,,,,,,,,,,,,,,,,,
122380346,408,51745,94633,0.546796572,,,,,,,,,,,,,,,,,,
238094110,378,55050,100678,0.546792745,,,,,,,,,,,,,,,,,,
116022049,301,64981,119203,0.545128898,,,,,,,,,,,,,,,,,,
118624104,433,58612,107524,0.545106209,,,,,,,,,,,,,,,,,,
93237132,261,51485,94472,0.544976289,,,,,,,,,,,,,,,,,,
87704768,320,58075,106948,0.543020907,,,,,,,,,,,,,,,,,,
164895401,372,58838,108543,0.542070884,,,,,,,,,,,,,,,,,,
253438329,328,63753,117717,0.541578532,,,,,,,,,,,,,,,,,,
194589327,343,61952,114970,0.538853614,,,,,,,,,,,,,,,,,,
206481072,279,61101,113503,0.538320573,,,,,,,,,,,,,,,,,,
111440420,257,68205,127004,0.53703033,,,,,,,,,,,,,,,,,,
89045960,244,50275,94518,0.531909266,,,,,,,,,,,,,,,,,,
137580071,425,42532,80490,0.528413468,,,,,,,,,,,,,,,,,,
17158974,233,69873,132346,0.527957022,,,,,,,,,,,,,,,,,,
25414276,328,54792,103954,0.527079285,,,,,,,,,,,,,,,,,,
51881043,488,42903,81599,0.525778502,,,,,,,,,,,,,,,,,,
267832504,184,57863,110164,0.525244181,,,,,,,,,,,,,,,,,,
114553914,203,60192,114792,0.524357098,,,,,,,,,,,,,,,,,,
239439275,214,62974,120353,0.523244124,,,,,,,,,,,,,,,,,,
90806053,351,54043,103613,0.521585129,,,,,,,,,,,,,,,,,,
71566924,466,50530,97298,0.51933236,,,,,,,,,,,,,,,,,,
86137383,445,52073,101119,0.514967514,,,,,,,,,,,,,,,,,,
199175537,267,55960,109067,0.513079117,,,,,,,,,,,,,,,,,,
33932084,239,68120,133235,0.511277067,,,,,,,,,,,,,,,,,,
37434038,239,61327,120499,0.508941983,,,,,,,,,,,,,,,,,,
267173529,202,56347,110855,0.508294619,,,,,,,,,,,,,,,,,,
68995677,211,58701,115588,0.507846835,,,,,,,,,,,,,,,,,,
215930116,278,53160,105205,0.505299178,,,,,,,,,,,,,,,,,,
5829974,257,57096,113433,0.503345587,,,,,,,,,,,,,,,,,,
22626521,285,47777,95213,0.501790722,,,,,,,,,,,,,,,,,,
212439598,271,58322,116521,0.500527802,,,,,,,,,,,,,,,,,,
223774222,368,38637,77343,0.499553935,,,,,,,,,,,,,,,,,,
116415011,253,55004,110168,0.499273836,,,,,,,,,,,,,,,,,,
24363265,340,56766,114365,0.496358152,,,,,,,,,,,,,,,,,,
56566455,362,45059,90814,0.496167992,,,,,,,,,,,,,,,,,,
3018779,478,40950,82955,0.493641131,,,,,,,,,,,,,,,,,,
80379086,431,37634,76382,0.492707706,,,,,,,,,,,,,,,,,,
206206624,409,38988,79873,0.488124898,,,,,,,,,,,,,,,,,,
181782061,303,51524,106058,0.485809651,,,,,,,,,,,,,,,,,,
53387883,171,53747,112749,0.476696024,,,,,,,,,,,,,,,,,,
20360683,229,47293,100037,0.472755081,,,,,,,,,,,,,,,,,,
80509242,497,35167,75319,0.46690742,,,,,,,,,,,,,,,,,,
32473130,411,39516,84686,0.466617859,,,,,,,,,,,,,,,,,,
94971429,248,52506,112574,0.466413204,,,,,,,,,,,,,,,,,,
1164995,289,46802,102160,0.458124511,,,,,,,,,,,,,,,,,,
218786788,351,36333,79359,0.45783087,,,,,,,,,,,,,,,,,,
130969670,420,36126,79019,0.457181184,,,,,,,,,,,,,,,,,,
94570191,211,58833,129264,0.455138322,,,,,,,,,,,,,,,,,,
185508916,241,49520,108827,0.455034137,,,,,,,,,,,,,,,,,,
257698602,299,50588,112523,0.449579197,,,,,,,,,,,,,,,,,,
85612602,422,38031,84995,0.44744985,,,,,,,,,,,,,,,,,,
